ID,Reference(s),Map update,Reference DOI #,"Latitude (decimal deg., WGS 84)","Longitude (decimal deg., WGS 84)",event.start,event.end
GTM_105,"Keith, Heather, et al. ""Dynamics of carbon exchange in a Eucalyptus forest in response to interacting disturbance factors."" Agricultural and Forest Meteorology 153 (2012): 67-81.",2014,https://doi.org/10.1016/j.agrformet.2011.07.019,-35.65572,148.1521,2001,2009
GTM_106,"Semple, Bill, et al. ""A note on tree deaths during the current (2001–?) drought in South-eastern Australia."" Australian Geographer 41.3 (2010): 391-401.",2015,https://doi.org/10.1080/00049182.2010.498042,-32.28,146.51,2001,2010
GTM_107,"Matusick, George, Katinka X. Ruthrof, and GE St J. Hardy. ""Drought and heat triggers sudden and severe dieback in a dominant Mediterranean-type woodland species."" Open Journal of Forestry 2.4 (2012): 183-186.",2014,https://doi.org/10.4236/ojf.2012.24022,-32.28343,115.7883,2010,2011
GTM_108,"Brouwers, Niels C., et al. ""Climate and landscape drivers of tree decline in a Mediterranean ecoregion."" Ecology and Evolution 3.1 (2013): 67-79.",2014,https://doi.org/10.1002/ece3.437,-32.03492,116.5203,2002,2008
GTM_109,"Vogelmann, James E., Brian Tolk, and Zhiliang Zhu. ""Monitoring forest changes in the southwestern United States using multitemporal Landsat data."" Remote Sensing of Environment 113.8 (2009): 1739-1748.",2015,https://doi.org/10.1016/j.rse.2009.04.014,36.031332,-106.556396,2000,2006
GTM_11,"Werner, 1988",2010,,29.22601603,12.13956833,1976,1980
GTM_110,"Matusick, George, et al. ""Sudden forest canopy collapse corresponding with extreme drought and heat in a mediterranean-type eucalypt forest in southwestern Australia."" European Journal of Forest Research 132.3 (2013): 497-510.",2014,https://doi.org/10.1007/s10342-013-0690-5,-32.28343,115.7883,2010,2011
GTM_111,"Baguskas, Sara A., et al. ""Evaluating spatial patterns of drought-induced tree mortality in a coastal California pine forest."" Forest Ecology and Management 315 (2014): 43-53.",2015,https://doi.org/10.1016/j.foreco.2013.12.020,34.015104,-119.781189,2006,2009
GTM_112,"Innes, J. L. ""Observations on the condition of beech (Fagus sylvatica L.) in Britain in 1990."" Forestry: An International Journal of Forest Research 65.1 (1992): 35-60.",2014,https://doi.org/10.1093/forestry/65.1.35,53.52521,1.231181,1987,1990
GTM_113,"Hart, Sarah J., et al. ""Drought induces spruce beetle (Dendroctonus rufipennis) outbreaks across northwestern Colorado."" Ecology 95.4 (2014): 930-939.",2015,https://doi.org/10.1890/13-0230.1,39.863371,-106.633301,2005,2010
GTM_114,"Peterken, G. F., and E. P. Mountford. ""Effects of drought on beech in Lady Park Wood, an unmanaged mixed deciduous woodland."" Forestry: An International Journal of Forest Research 69.2 (1996): 125-136.",2014,https://doi.org/10.1093/forestry/69.2.125,51.82587,2.657239,1975,1976
GTM_115,"Linares, Juan Carlos, J. Julio Camarero, and José Antonio Carreira. ""Interacting effects of changes in climate and forest cover on mortality and growth of the southernmost European fir forests."" Global Ecology and Biogeography 18.4 (2009): 485-497.",2014,https://doi.org/10.1111/j.1466-8238.2009.00465.x,36.66667,4.916667,1970,ongoing
GTM_116,"Kane, Jeffrey M., Thomas E. Kolb, and Joel D. McMillin. ""Stand-scale tree mortality factors differ by site and species following drought in southwestern mixed conifer forests."" Forest ecology and management 330 (2014): 171-182.",2015,https://doi.org/10.1016/j.foreco.2014.06.042,35.786627,-112.598877,1996,2007
GTM_117,"Galiano, L., J. Martínez-Vilalta, and F. Lloret. ""Drought-induced multifactor decline of Scots pine in the Pyrenees and potential vegetation change by the expansion of co-occurring oak species."" Ecosystems 13.7 (2010): 978-991.",2014,https://doi.org/10.1007/s10021-010-9368-8,42.37861,1.108056,2005,2005
GTM_118,"Vennetier, Michel, and Christian Ripert. ""Climate change impact on vegetation: lessons from an exceptionally hot and dry decade in south-eastern France."" (2010): p-225.",2014,n/a,43.26427,5.524672,1998,2008
GTM_119,"Aakala, Tuomas, et al. ""Tree mortality episodes in the intact Picea abies?dominated taiga in the Arkhangelsk region of northern European Russia."" Journal of Vegetation Science 22.2 (2011): 322-333.",2014,https://doi.org/10.1111/j.1654-1103.2010.01253.x,63,44.16667,1999,2004
GTM_12,"Woods, 1989; Becker et al., 1998; Leighton and Wirawan, 1986",2010,,7.148846876,27.41095224,1982,1983
GTM_120,"Carnicer, Jofre, et al. ""Widespread crown condition decline, food web disruption, and amplified tree mortality with increased climate change-type drought."" Proceedings of the National Academy of Sciences 108.4 (2011): 1474-1478.",2014,https://doi.org/10.1073/pnas.1010070108,39,4,1987,2007
GTM_121,"Linares, Juan Carlos, et al. ""Tree growth decline on relict Western-Mediterranean mountain forests: Causes and impacts."" Forest Decline: Causes and Impacts (2011).",2014,n/a,42,0,,ongoing
GTM_122,"Twidwell, Dirac, et al. ""Drought?induced woody plant mortality in an encroached semi?arid savanna depends on topoedaphic factors and land management."" Applied Vegetation Science 17.1 (2014): 42-52.",2015,https://doi.org/10.1111/avsc.12044,30.564626,-100.643005,2000,2011
GTM_123,"Sarris, Dimitrios, Dimitrios Christodoulakis, and Christian Körner. ""Impact of recent climatic change on growth of low elevation eastern Mediterranean forest trees."" Climatic Change 106.2 (2011): 203-223.",2014,https://doi.org/10.1007/s10584-010-9901-y,37.75651,20.78309,1999,ongoing
GTM_124,"Gu, L., et al. ""Predictors and mechanisms of the drought-influenced mortality of tree species along the isohydric to anisohydic continuum in a decade-long study of a central US temperate forest."" Biogeosciences Discussions 12.2 (2015).",2015,https://doi.org/10.5194/bgd-12-1285-2015,38.74411,-92.200009,2005,2014
GTM_125,"Marini, Lorenzo, et al. ""Climate affects severity and altitudinal distribution of outbreaks in an eruptive bark beetle."" Climatic Change 115.2 (2012): 327-341.",2014,https://doi.org/10.1007/s10584-012-0463-z,46.34063,12.97505,1994,2009
GTM_126,"Cailleret, Maxime, et al. ""Drought-induced decline and mortality of silver fir differ among three sites in Southern France."" Annals of forest science 71.6 (2014): 643-657.",2014,https://doi.org/10.1007/s13595-013-0265-0,44.14194,5.258828,1900,ongoing
